id,name,price,type,rating,rating_number,location,website,contact_number,opening_hours,about,image_source,created_at,updated_at
1,Eastway Brasserie,£25 and under,British,3.7,1461,Liverpool Street,https://eastwaybrasserie.com/?src=prop_misc_longe_other_opentable_eastway-standalone-opentable,020 7618 7400 ,Breakfast Daily 07:00–11:30 Lunch Mon–Fri, Sun 12:00–17:00 Brunch Sat 12:00–16:00 Dinner Daily 17:00–22:00,https://images.otstatic.com/prod/24868488/1/medium.jpg,2022-01-26 16:46:11.975299+00,2022-01-26 16:46:11.975299+00
2,Gaucho City,£41 and over,Steak,4.3,1730,Fenchurch Street,http://www.gauchorestaurants.co.uk/,020 7626 5180,Mon–Fri 12:00–22:00 Sat 17:00–22:00,Gaucho City is one of London’s hidden gems. The restaurant is set in the historic gold vaults of the Old Bank of England,https://images.otstatic.com/prod/25200368/1/medium.jpg,2022-01-26 16:46:11.990484+00,2022-01-26 16:46:11.990484+00
3,M Threadneedle Street,£41 and over,Steakhouse,4.4,2264,Bank,http://www.mrestaurants.co.uk/,020 3327 7770,Mon–Sat 12:00–22:00,M Restaurants take inspiration from six different continents around the world - South Africa,https://images.otstatic.com/prod/27181612/1/medium.jpg,2022-01-26 16:46:11.997451+00,2022-01-26 16:46:11.997451+00
4,Miyako at Andaz,£26 to £40,Japanese,4,225,Liverpool Street,https://www.hyattrestaurants.com/en/dining/uk/london/japanese-restaurant-in-city-of-london-miyako,020 7618 7100,Tue–Sat 17:00–22:00 Sit down & Takeaway Tue–Sat 12:00–15:30,Boasting an AA Rosette,https://images.otstatic.com/prod/27877738/4/medium.jpg,2022-01-26 16:46:12.003669+00,2022-01-26 16:46:12.003669+00
5,Hawksmoor Guildhall,£25 and under,Steakhouse,4.7,3285,Bank,https://thehawksmoor.com/locations/guildhall/,020 7397 8120,Mon–Fri 17:00–21:30 Tue–Fri 12:00–14:30 Sat 17:00–23:00,Situated in the heart of The City,https://resizer.otstatic.com/v2/photos/medium/1/47169058.jpg,2022-01-26 16:46:12.006337+00,2022-01-26 16:46:12.006337+00
6,Piazza Italiana,£26 to £40,Italian,4.5,88,Bank,https://www.piazzaitaliana.co.uk/,020 7256 7223,Lunch Mon–Sat 12:00–17:30 Dinner Mon–Wed 18:00–21:45 Thu–Sat 18:00–22:45,The heritage of Italian culinary art at Piazza Italiana starts with the Sicilian-born chef Remo Mazzucato and his experience of over 50 years across the world. Nestled in the former telling room of British Linen Bank with the interior restored to its original design from 1902.  Piazza Italiana brings the ambience of classic Italian cuisine: palate-enlightening and focused on quality and seasonal ingredients. Polished service,https://images.otstatic.com/prod1/42096401/3/medium.jpg,2022-01-26 16:46:12.008198+00,2022-01-26 16:46:12.008198+00
7,Kaia at The Ned,£26 to £40,Pan-Asian,4.5,1526,Bank,http://www.thened.com/restaurants#kaia,020 3828 2000 ,Tue–Sat 12:00–22:00 ,Kaia is an Asian-Pacific-inspired restaurant specialising in healthy food,https://images.otstatic.com/prod/25148203/1/medium.jpg,2022-01-26 16:46:12.009934+00,2022-01-26 16:46:12.009934+00
8,Cabotte,£26 to £40,French,4.7,498,Bank,http://www.cabotte.co.uk/,020 7600 1616,Monday - Friday: 12:00 - 14:30 and 18:00 - 22:00,Founded by two Master Sommeliers with extensive London restaurant experience,https://images.otstatic.com/prod/24765945/1/medium.jpg,2022-01-26 16:46:12.011997+00,2022-01-26 16:46:12.011997+00
9,Lutyens Grill at The Ned,£26 to £40,American,4.7,386,Bank,http://www.thened.com/restaurants/lutyens-grill,020 3828 2000 ,Lunch Mon–Fri 12:00–15:00 Sun 12:00–16:00 Dinner Mon–Sat 18:00–22:00,Situated in a private wood-panelled dining room on the ground floor – once used as the former Bank Manager’s office – Lutyens Grill serves lunch and dinner. The old school grill feel is enhanced by traditional trolley service – choose your steak and soak up the cosy atmosphere.  Please be advised bookings cannot be made for drinks only. Pets,https://images.otstatic.com/prod/25148197/1/medium.jpg,2022-01-26 16:46:12.018586+00,2022-01-26 16:46:12.018586+00
10,Electric Bar & Diner at The Ned,£25 and under,Deli,4.4,267,Bank,https://www.thened.com/restaurants/electricbaranddiner,020 3828 2000 ,Mon–Sat 08:00–22:30 Sun 08:00–16:00,A sister restaurant to Soho House & Co’s Electric Diner Portobello,https://images.otstatic.com/prod1/32130208/1/medium.jpg,2022-01-26 16:46:12.024717+00,2022-01-26 16:46:12.024717+00
12,Malibu Kitchen at The Ned,£25 and under,Californian,4.6,693,Bank,http://www.thened.com/restaurants/malibu-kitchen,020 3828 2000 ,Mon–Sat 08:00–22:00 ,Malibu Kitchen brings Californian food to the City with a healthy menu of superfood salads,https://images.otstatic.com/prod/25148204/1/medium.jpg,2022-01-26 16:46:12.037125+00,2022-01-26 16:46:12.037125+00
13,El Vino Masons Avenue,£25 and under,Tapas / Small Plates,3.6,12,Bank,https://elvino.co.uk/bars/masons-avenue/,020 7600 2676 ,Mon–Fri 12:00–22:00,El Vino Masons Avenue is a new wine bar at 12-14 Masons Avenue,https://images.otstatic.com/prod/24997295/1/medium.jpg,2022-01-26 16:46:12.040048+00,2022-01-26 16:46:12.040048+00
