id,name,price,type,rating,rating_number,location,website,contact_number,opening_hours,about,image_source,created_at,updated_at,doc
1,Eastway Brasserie,£25 and under,British,3.7,1461,Liverpool Street,https://eastwaybrasserie.com/?src=prop_misc_longe_other_opentable_eastway-standalone-opentable,020 7618 7400 ,Breakfast Daily 07:00–11:30 Lunch Mon–Fri, Sun 12:00–17:00 Brunch Sat 12:00–16:00 Dinner Daily 17:00–22:00,https://images.otstatic.com/prod/24868488/1/medium.jpg,2022-01-26 16:46:11.975299+00,2022-01-26 16:46:11.975299+00,"Boasting an AA Rosette, Eastway is an all-day dining East End brasserie serving grill classics and speciality dishes. Enjoy a scrumptious and decadent breakfast, or our tapas and charcuterie menu that accompanies hearty brasserie dishes, while reinterpreted classic brasserie favourites include the pulled pork bap with homemade slaw and fries, and slow-cooked beef blade in red wine. On the weekends, with a variety of locally sourced and organic ingredients, Eastway offers the ultimate sharing experience with an innovative menu that changes weekly. Spoil yourself with the set menu, which includes sharing style starters, a delicious large brunch plate for a main course and unlimited desserts. A Bloody Mary DIY bar featuring home-infused vodkas and unlimited complimentary Danish pastries are here to tantalise the healthy, the hipster & the hungover. Exotic signature cocktails sit alongside an elegant, seasonally changing wine list.Beautiful place, good service, nice food. Drinks are a little pricey, but feel like a treat.          It was very quiet early on a Saturday evening but the music was too loud then, though turned down as the evening progressed. The food and the service was good.                                        Large barn of a room, staff excellent but food not wonderful!                                            Very nice place for breakfast by Liverpool Street station                       I was able to book a table for 4 o’clock, however when I arrived they couldn’t seat me until 5 o’clock as their kitchen had closed for an hour. At which point I had to leave as I had plans for later on that evening. Not sure as to why I was able to make the booking in the first place if they are just going to turn people away!  "
2,Gaucho City,£41 and over,Steak,4.3,1730,Fenchurch Street,http://www.gauchorestaurants.co.uk/,020 7626 5180,Mon–Fri 12:00–22:00 Sat 17:00–22:00,Gaucho City is one of London’s hidden gems. The restaurant is set in the historic gold vaults of the Old Bank of England,https://images.otstatic.com/prod/25200368/1/medium.jpg,2022-01-26 16:46:11.990484+00,2022-01-26 16:46:11.990484+00," Gaucho City is one of London’s hidden gems. The restaurant is set in the historic gold vaults of the Old Bank of England, right in the heart of the Square Mile across from the historic Leadenhall Market. Our menu features big Latin flavours, incredible Argentinian steak and impeccably curated wines.  Descending from the bustle of the banking district, join us for a more speedy set lunch or a long languorous steak dinner in our elegant private dining room. Venture a little further down to our candle-lit cocktail lounge which is the perfect spot for those after work drinks or for a spot of weekend escapism.  City is perfect for all of your social and corporate events with a plethora of dining rooms, AV and conference facilities.The decor was horrendous, with dirty surfaces damaged chairs , dirty toilets it’s had a feel of complete neglect even down to the paint on the wall all marked and dirty. This was far from luxury and as for the food it was tasteless- I asked for my stake to be medium rare it came blue. The whole atmosphere was unsettling and I felt robbed after paying the bill. I though this chain of restaurant was know for its high standards but in all honesty It had lower standards than miller and carter. I will never step foot in a Gauchos again.                     Great menu and staff were very helpful. Would go back to this location.                  Lovely experience, waiters were very helpful and accommodating to our dietary requirements. The atmosphere was beautiful and the food was 10/10. Highly recommended.                           Services was brilliant , recommend steak was delicious , sides were disappointing… all very expensive.                     In fact was a very nice night! I was so happy when I came down I asked to the man that was at reception I told to him we have a reservation asked my name and he told me with Spanish accent ( Colombia or VENEZUELA) I’m from VENEZUELA and I was so happy to listen my name wuaooooo perfecto in Spanish was so cool! Then he show our table, then our waitresses was Aitor! He was fabulous, gave the recommendation with the empanadas (chicken he prefer but we got chicken, meat and potatoes so delicious very fresh! The restaurant is lovely, the food was perfect and juice the meat, it’s very expensive but the service was spectacular from the beginning to the end, the atención was very kind! Thank you so much! Yamily & Antonio"
3,M Threadneedle Street,£41 and over,Steakhouse,4.4,2264,Bank,http://www.mrestaurants.co.uk/,020 3327 7770,Mon–Sat 12:00–22:00,M Restaurants take inspiration from six different continents around the world - South Africa,https://images.otstatic.com/prod/27181612/1/medium.jpg,2022-01-26 16:46:11.997451+00,2022-01-26 16:46:11.997451+00,"M Restaurants take inspiration from six different continents around the world - South Africa, France, Australia, Japan, Argentina and the US - all famed for their outstanding food.  Curated by executive chef Mike Reid, each dish has a modern twist including prime steak cuts such as South African rib eye and firecracker sauce, cauliflower served with kale and a mini provolone empanada, as well as high grade Japanese pure Kobe fillet steak. The food menu is complemented by a stunning wine list which boasts over 120 wines by the glass.  The restaurants feature striking Himalayan salt chambers for ageing meat, unrivalled event spaces, beautiful bars, wine rooms (Victoria has a wine shop), as well as private members areas known as the The Den.  Please note: we do not require card details or a deposit to secure your booking and will not contact you to request this information.  Please note: we currently do not accept OpenTable dining cheques.Beautiful venue! But… Did the bottomless brunch deal and the drinks were hit and miss - espresso martini was insanely strong almost undrinkable. Food was ok - fritters were missing the jam and not enough avocado, shakshuka was underwhelming and the desserts were stodgy, dry and bland which was a shame.. don’t think I’d go back as there are much better bottomless brunch deals to be had. Felt very much under the allotted time pressure of 1.5 hours - waitress kept mentioning it - which was also a bit irritating. Stunning place though and lovely saxophonist adding to the atmosphere..                     This place is amazing not only was it dog friendly, but even if you didn't have a dog this restaurant would be an ideal place to celebrate a special occasion or simply enjoy lovely food with a loved one or your family. The staff were extremely helpful and friendly. The food was excellent and very well presented. Highly recommended!                     This restaurant is great. I have visited their Victoria restaurant before, but the Threadneedle Street one is just as good, if not a tad better. The service was excellent, everyone we spoke to was extremely attentive and helpful. The food was absolutely delicious. I had the burrata, the rump steak (which was the most flavoursome rump I've had) and snickers for dessert. All were delicious.                      From the moment we walked in the service was just amazing. The staff are knowledgeable, attentive and very good at what they do. The food was unbelievable ....we tried the steak roulette...what a great idea - you spin it at your table. Our waiter was amazing, really helped to add the experience....the whole evening was superb. Great food, great service and fantastic wine......you can't beat that.                 Been here a number of times when in London, always a great meal with excellent service. I felt compelled to to write a review this time as the meal was one of the best I have ever had.                          "
4,Miyako at Andaz,£26 to £40,Japanese,4.0,225,Liverpool Street,https://www.hyattrestaurants.com/en/dining/uk/london/japanese-restaurant-in-city-of-london-miyako,020 7618 7100,Tue–Sat 17:00–22:00 Sit down & Takeaway Tue–Sat 12:00–15:30,Boasting an AA Rosette,https://images.otstatic.com/prod/27877738/4/medium.jpg,2022-01-26 16:46:12.003669+00,2022-01-26 16:46:12.003669+00,"Boasting an AA Rosette, Miyako is a serene hangout serving elegant sushi. Led by Head Chef Kosei Sakamoto, a menu of traditional Japanese-style cuisine is served. In the metropolitan bustle of Liverpool Street, Miyako provides an authentic Japanese dining experience where guests can treat themselves to a traditional menu of expertly crafted sashimi and hand-rolled sushi, teriyaki and a selection of sakes. Diners can select an assortment of sublimely fresh fish, with choices including tuna, scallops and squid. Renowned for its tasty bento range, the Miyako menu is packed with fresh, flavoursome ingredients. Housed within five-star lifestyle hotel Andaz London Liverpool Street, Miyako offers nutritious cuisine in a chic, minimalist setting. Alternatively, the restaurant also offers a Japanese takeaway and delivery service. Liverpool Street Station is a 2-minute walk away.Amazing sushi in a very small traditional Japanese restaurant. Will definitely be heading back very reasonable pricing for the best sushi I’ve had in London.        My favourite sushi restaurant in the City. Great sushi and quick service. Shame the wine list is not as long as it was pre pandemic.           Nice food was totally let down by poor service, such a shame!      Disappointing and depressing. Lacks ambience. Took a loooong time to get a glass of tap water. Had to ask several times. Food ok. Limited wine by the glass. No champagne by the glass. I guess I was expecting something a bit more up-market.              Excellent Sushi restaurant.  I have become a regular for business lunches with other Sushi lovers and they’ve all thoroughly enjoyed it too!"
5,Hawksmoor Guildhall,£25 and under,Steakhouse,4.7,3285,Bank,https://thehawksmoor.com/locations/guildhall/,020 7397 8120,Mon–Fri 17:00–21:30 Tue–Fri 12:00–14:30 Sat 17:00–23:00,Situated in the heart of The City,https://resizer.otstatic.com/v2/photos/medium/1/47169058.jpg,2022-01-26 16:46:12.006337+00,2022-01-26 16:46:12.006337+00,"Situated in the heart of The City, Hawksmoor Guildhall is a British steak and seafood restaurant serving lunch and dinner, including a cocktail bar and private dining room for larger groupsThe Hawksmoor never fails, great food,good service. The lobster is not worth the price for the amount in my opinion but still very nice. The steak is superb.         Wow, just wow! An exceptional experience. Service was lovely and the staff made us feel really valued. Such a great place for special occasions. The food was marvellous; everything we tried was 11/10. Same with the drinks menu; something for everyone. The red we had was recommended to us and it was superb. The venue is classy, energetic and intimate. Creates a really nice vibe and ambiance.Will definitely be returning – this location is my new favourite 😊.                                      The service was amazing and so was the food. Our waitress recommended the gravy mash, and it was out of this world. Thank you for a lovely evening.                  Excellent dinner. Cocktails were also amazing, but of course the steak was the start of the evening.          Went for my boyfriends bday and it was great. Food/service was 10/10 and the candle in the dessert was a lovely touch!"
6,Piazza Italiana,£26 to £40,Italian,4.5,88,Bank,https://www.piazzaitaliana.co.uk/,020 7256 7223,Lunch Mon–Sat 12:00–17:30 Dinner Mon–Wed 18:00–21:45 Thu–Sat 18:00–22:45,The heritage of Italian culinary art at Piazza Italiana starts with the Sicilian-born chef Remo Mazzucato and his experience of over 50 years across the world. Nestled in the former telling room of British Linen Bank with the interior restored to its original design from 1902.  Piazza Italiana brings the ambience of classic Italian cuisine: palate-enlightening and focused on quality and seasonal ingredients. Polished service,https://images.otstatic.com/prod1/42096401/3/medium.jpg,2022-01-26 16:46:12.008198+00,2022-01-26 16:46:12.008198+00,"The heritage of Italian culinary art at Piazza Italiana starts with the Sicilian-born chef Remo Mazzucato and his experience of over 50 years across the world. Nestled in the former telling room of British Linen Bank with the interior restored to its original design from 1902.  Piazza Italiana brings the ambience of classic Italian cuisine: palate-enlightening and focused on quality and seasonal ingredients. Polished service, extensive bar and signature cocktails culminate in an Italian dining experience unlike any other.  The wine list has been accurately crafted and designed by the Best Sommelier of Italy 2015 for every taste and wine lovers, offering a choice of around 500 bins and 40 wines by the glass.  For anyone is looking to host an event, there are two versatile and intimate areas providing an ideal setting for private dining up to 14 guests in one room.Came here with my girlfriend for a date, absolutely sublime! Gorgeous decor, food was utterly delicious (can particularly recommend the taglioni al tartufo), even the bread served before the meal was INSANELY good! Staff were lovely as well, very warm and accommodating and eager to please, I really can’t recommend this place highly enough.                   l chose this place for my wife's birthday. Everything was perfect. Food was soo delicious. People are so lovely and welcoming. They even gave a gift to my wife. Great gesture ! We are looking forward to going again.                      Very nice place. Excellent service, really nice and trying to make your diner enjoyable.              It was an amazing experience, thank you very much! I brought my best friend here for her birthday and we were very well received. Staff was friendly and approachable. Really nice atmosphere and delicious food! Would definitely recommend and come back!                 The restaurant itself was really nice and the menu looked incredible, however service was poor and the food was not good. Salmon came under cooked and one of the pasta dishes came out cold- for how expensive it was I was expecting more/better."
7,Kaia at The Ned,£26 to £40,Pan-Asian,4.5,1526,Bank,http://www.thened.com/restaurants#kaia,020 3828 2000 ,Tue–Sat 12:00–22:00 ,Kaia is an Asian-Pacific-inspired restaurant specialising in healthy food,https://images.otstatic.com/prod/25148203/1/medium.jpg,2022-01-26 16:46:12.009934+00,2022-01-26 16:46:12.009934+00,"Kaia is an Asian-Pacific-inspired restaurant specialising in healthy food, with poke bowls and mains from the grill served over the counter.  Kaia Sunday Brunch and Bottomless Saturday Brunch will be paused for the foreseeable future.  Please be advised bookings cannot be made for drinks only. Pets, other than registered guide dogs are not permitted in public areas or restaurant at The Ned. We will try to accommodate pushchairs where possible, please be aware there may not be space at the table. If you would like to request a highchair or for further information, contact the restaurant directly. The Ned reserves the right to refuse or cancel any reservation either ahead or upon arrival.Great food and a decent menu. Atmosphere inside the eating area was good too. Only drawback was the table was incredibly small.          Very tasty - fresh and authentic, expensive for qtys.         Great food but the 4 of us were squeezed onto a small table. We ordered 2 platters and there was not enough room to eat. The service was far from polished given the cost but the food was great.             Really enjoyed it, sat up the bar area. Quick service, expensive but not robbery, ordered one of the £85 platters, some starters, sides, a few bottles of wine, thoroughly enjoyed it.                               Wonderful food and excellent service       "
8,Cabotte,£26 to £40,French,4.7,498,Bank,http://www.cabotte.co.uk/,020 7600 1616,Monday - Friday: 12:00 - 14:30 and 18:00 - 22:00,Founded by two Master Sommeliers with extensive London restaurant experience,https://images.otstatic.com/prod/24765945/1/medium.jpg,2022-01-26 16:46:12.011997+00,2022-01-26 16:46:12.011997+00,"Founded by two Master Sommeliers with extensive London restaurant experience, Cabotte promises an evening of exquisite French cuisine paired with a unique wine list made up of beautiful classics and interesting rarities from the Burgundy wine region.  Named after the small huts that Burgundy winegrowers have within their vineyards, the feel of the restaurant is that of a traditional local bistro in the French countryside. With traditional dishes and modern twists, the seasonal menu and daily specials will showcase the very best ingredients.  Open Monday to Friday for lunch and dinner, Cabotte also has two Private Dining Rooms available for exclusive hire for groups between 6 and 40 people. With menus available for sit-down, canape parties or walkaround tasting events, the Central location is ideal for any corporate or social occasions.Cabotte is basically a wine-restaurant. But it's a brilliant wine restaurant. The food menu is very short, just four starters and four mains. But everything was first-class, especially the sweetbreads which were the best I've had for a very long time. But the wine list is immense. And if you're a Burgundy lover it's probably the best list in London. What really made us happy is there's a great selection by the glass, including a Coravin selection so we were able to sample some truly superb wines without breaking the bank. Staff were all super from start to finish, and the atmosphere is very relaxed. Truly an exceptionally pleasant evening.              Fabulous food and wine, great service and ambiance.              Food was very good, find wine a bit expensive. but overall good experience and good service.                 Fabulous lunch with superb wines. Loved every minute of visit and can highly recommend.                  Cabotte was an excellent find if you want somewhere good in the City. It felt very French and had a short but interesting menu. Extensive and thoughtful wine list. The food was very good and the room had a relaxed but lively feel. Delicious Tarte Tatin with great pastry - plenty for us to share."
9,Lutyens Grill at The Ned,£26 to £40,American,4.7,386,Bank,http://www.thened.com/restaurants/lutyens-grill,020 3828 2000 ,Lunch Mon–Fri 12:00–15:00 Sun 12:00–16:00 Dinner Mon–Sat 18:00–22:00,Situated in a private wood-panelled dining room on the ground floor – once used as the former Bank Manager’s office – Lutyens Grill serves lunch and dinner. The old school grill feel is enhanced by traditional trolley service – choose your steak and soak up the cosy atmosphere.  Please be advised bookings cannot be made for drinks only. Pets,https://images.otstatic.com/prod/25148197/1/medium.jpg,2022-01-26 16:46:12.018586+00,2022-01-26 16:46:12.018586+00,"Situated in a private wood-panelled dining room on the ground floor – once used as the former Bank Manager’s office – Lutyens Grill serves lunch and dinner. The old school grill feel is enhanced by traditional trolley service – choose your steak and soak up the cosy atmosphere.  Please be advised bookings cannot be made for drinks only. Pets, other than registered guide dogs are not permitted in any public area or restaurant at The Ned. Children are welcome in the restaurant until 8pm. We will try to accommodate pushchairs where possible but please be aware there may not be space at the table. If you would like to request a highchair or for further information please contact the restaurant directly.  Please note The Ned reserves the right to refuse or cancel any reservation either ahead or upon arrival.This is amazing place but the service Was a bit rushed and didn’t feel we had Time to enjoy the meal. Also some of The food was over cooked.               Much enjoyed, I will definitely return here. Our food was excellent (smoked salmon starter for me, seafood cocktail for my wife. Followed by Iberico pork chop and Filet steak for me. Lovely sides and the wine list was impeccable. The service was top notch too.             Very nice restaurant with a very good food. The selection is not big but I am sure everyone will enjoy the steaks there. The staff also prepared for me a little surprise for my Graduation, as I celebrated it there. Thank you!       Both steaks were way too over-cooked for our requested rare and medium-rare orders, otherwise a flawless experience. Great staff, lovely ambience.     First time visiting Lutyens Grill and what a fabulous experience. We went for my husbands birthday. The food was beautiful and the service was first class. Will definitely visit again.  "
10,Electric Bar & Diner at The Ned,£25 and under,Deli,4.4,267,Bank,https://www.thened.com/restaurants/electricbaranddiner,020 3828 2000 ,Mon–Sat 08:00–22:30 Sun 08:00–16:00,A sister restaurant to Soho House & Co’s Electric Diner Portobello,https://images.otstatic.com/prod1/32130208/1/medium.jpg,2022-01-26 16:46:12.024717+00,2022-01-26 16:46:12.024717+00,"A sister restaurant to Soho House & Co’s Electric Diner Portobello, the revamped menu offers a mixture of diner and deli favourites. Expect everything from burgers and bagels to salads and cheesecake, with plenty of shakes and cocktails.  Electric Bar & Diner serves breakfast, brunch and all-day classics. Eat-in at the counter or in one of the plush red leather booths or grab a coffee and a slice of pie to go from the dessert counter.  Please be advised bookings cannot be made for drinks only. Pets, other than registered guide dogs are not permitted in any public area or restaurant at The Ned. We will try to accommodate pushchairs where possible but please be aware there may not be space at the table. If you would like to request a highchair or for further information please contact the restaurant directly.  Please note The Ned reserves the right to refuse or cancel any reservation either ahead or upon arrival.Very nice meal and service - house band were very good!   We came with a baby and everyone was friendly and helpful. The facilities were at a very good standard. The food was great and the service too. Highly recommend!  Very expensive for what it is. Would probably not go back for the diner food.  The Ned is a lovely setting for a lunch or dinner. The food in Electric diner was tasty and filling, good value for money. Would definitely recommend and eat here again.  Amazing experience, would highly recommend, the food is as amazing and affordable  "
